"filename", "language", "YAML", "Properties", "Groovy", "C++", "XML", "Dart", "JSON", "Markdown", "Swift", "HTML", "SVG", "comment", "blank", "total"
"c:\dev\projects\TCC3\museo\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\dev\projects\TCC3\museo\analysis_options.yaml", "YAML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 29
"c:\dev\projects\TCC3\museo\android\app\build.gradle", "Groovy", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"c:\dev\projects\TCC3\museo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\dev\projects\TCC3\museo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\dev\projects\TCC3\museo\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\dev\projects\TCC3\museo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\dev\projects\TCC3\museo\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\dev\projects\TCC3\museo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\dev\projects\TCC3\museo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\dev\projects\TCC3\museo\android\build.gradle", "Groovy", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\dev\projects\TCC3\museo\android\gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\projects\TCC3\museo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\projects\TCC3\museo\android\settings.gradle", "Groovy", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\dev\projects\TCC3\museo\assets\quizz\dots.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1738, 0, 2, 1740
"c:\dev\projects\TCC3\museo\assets\store\icons\add_to_cart.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\dev\projects\TCC3\museo\assets\store\icons\back.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\dev\projects\TCC3\museo\assets\store\icons\bag_1.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\dev\projects\TCC3\museo\assets\store\icons\cart.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\dev\projects\TCC3\museo\assets\store\icons\heart.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\dev\projects\TCC3\museo\assets\store\icons\search.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\dev\projects\TCC3\museo\assets\store\images\Nova guia.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 566, 0, 1, 39, 606
"c:\dev\projects\TCC3\museo\assets\store\images\Nova guia_files\saved_resource.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"c:\dev\projects\TCC3\museo\assets\tour\fast.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 30
"c:\dev\projects\TCC3\museo\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\dev\projects\TCC3\museo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\dev\projects\TCC3\museo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"c:\dev\projects\TCC3\museo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\dev\projects\TCC3\museo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\dev\projects\TCC3\museo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
